Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
https://accessibility.civicactions.com/,text/html; charset=utf-8,200,OK,Indexable,,Home | CivicActions Accessibility,33,295,CivicActions Accessibility site is an open project for our team members and those who work for digital inclusion.,113,686,,0,Accessibility together.,23,,0,We're open.,11,Project board,13,,,,,,,,,,80891,8410,336,90,3.733,51.219,Fairly Hard,2.974,0,0,,265,131,0,96.32,74,68,0,7,7,0,,,,,989679c96b36ca2bce8dbdbe0dc2771a,0.052,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/,2024-01-03 17:40:49
https://accessibility.civicactions.com/about/,text/html; charset=utf-8,200,OK,Indexable,,About CivicActions Accessibility | CivicActions Accessibility,61,525,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Who we are,10,,0,Our work,8,CivicActions Accessibility,26,,,,,,,,,,14537,3361,137,23,5.957,67.405,Normal,7.887,1,1,,146,131,0,96.32,27,19,0,7,7,0,,,,,603e6256b10e6411c8e6623e1b9b0401,0.056,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/,2024-01-03 17:41:02
https://accessibility.civicactions.com/about/contact,text/html; charset=utf-8,200,OK,Indexable,,Contact form | CivicActions Accessibility,41,359,Ways to connect with us.,24,155,,0,Contact form,12,,0,Other ways to contact us,24,CivicActions Accessibility,26,,,,,,,,,,14628,3274,46,19,2.421,49.891,Hard,4.369,1,1,,150,132,0,97.06,24,18,0,9,7,0,,,,,57a321dd3d7a47112e66dc40cdc31c60,0.068,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/contact,2024-01-03 17:40:52
https://accessibility.civicactions.com/about/join,text/html; charset=utf-8,200,OK,Indexable,,Join us | CivicActions Accessibility,36,305,How to get involved with CivicActions Accessibility.,52,314,,0,Join us,7,,0,Already working for CivicActions?,33,Not yet working for CivicActions,32,,,,,,,,,,14389,3229,77,14,5.5,68.31,Normal,5.505,1,1,,149,132,0,97.06,25,18,0,11,11,0,,,,,5648eb3533ffc70a29f928b3cc5cc032,0.121,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/join,2024-01-03 17:40:52
https://accessibility.civicactions.com/about/people,text/html,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,162,162,0,,,,,0,2,1,,14,14,0,10.29,0,0,0,0,0,0,,,,,,0.049,,https://accessibility.civicactions.com/about/people/,HTTP Redirect,,1.1,https://accessibility.civicactions.com/about/people,2024-01-03 17:41:38
https://accessibility.civicactions.com/about/people/,text/html; charset=utf-8,200,OK,Indexable,,People | CivicActions Accessibility,35,303,Meet the humans of CivicActions Accessibility.,46,286,,0,People,6,,0,Daniel Mundra,13,Jack Haas,9,,,,,,,,,,17115,3114,32,12,2.667,61.366,Normal,2.72,1,2,,145,132,0,97.06,25,23,0,6,6,0,,,,,4112702719323e4f64b545f34ddc42c0,0.05,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/,2024-01-03 17:40:54
https://accessibility.civicactions.com/about/people/allison-carroll,text/html; charset=utf-8,200,OK,Indexable,,Allison Carroll | CivicActions Accessibility,44,365,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Allison Carroll,15,,0,About,5,Connect,7,,,,,,,,,,15130,3190,24,10,2.4,59.874,Fairly Hard,3.255,3,2,,4,2,0,1.47,26,20,0,6,6,0,,,,,317a6a32ac87779914daf05ed5de032f,0.061,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/allison-carroll,2024-01-03 17:45:49
https://accessibility.civicactions.com/about/people/civicactions,text/html; charset=utf-8,200,OK,Indexable,,Civicactions | CivicActions Accessibility,41,349,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,CivicActions,12,,0,About,5,Connect,7,,,,,,,,,,16093,3407,63,20,3.15,63.981,Normal,4.554,3,2,,8,4,0,2.94,28,22,0,10,8,0,,,,,aaa20eeef717ece3b6b88f9856effac1,0.141,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/civicactions,2024-01-03 17:45:49
https://accessibility.civicactions.com/about/people/daniel-mundra,text/html; charset=utf-8,200,OK,Indexable,,Daniel Mundra | CivicActions Accessibility,42,370,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Daniel Mundra,13,,0,About,5,Connect,7,,,,,,,,,,16578,3488,101,25,4.04,67.877,Normal,5.772,1,2,,17,9,0,6.62,30,24,0,10,10,0,,,,,15d14f698cef1ce494db08fcf24cfa00,0.134,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/daniel-mundra,2024-01-03 17:41:16
https://accessibility.civicactions.com/about/people/jack-haas,text/html; charset=utf-8,200,OK,Indexable,,Jack Haas | CivicActions Accessibility,38,334,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Jack Haas,9,,0,About,5,Connect,7,,,,,,,,,,15242,3205,32,11,2.909,42.614,Hard,3.587,1,2,,6,4,0,2.94,26,20,0,7,7,0,,,,,2439072304b2d5dbfec15ef9531e55ef,0.062,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/jack-haas,2024-01-03 17:41:18
https://accessibility.civicactions.com/about/people/jennifer-houde,text/html; charset=utf-8,200,OK,Indexable,,Jennifer Houde | CivicActions Accessibility,43,378,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Jennifer Houde,14,,0,About,5,Connect,7,,,,,,,,,,15173,3203,26,11,2.364,41.744,Hard,3.346,,2,,2,1,0,0.74,25,19,0,9,9,0,,,,,51d4800c8edb995c048cdaae4cec2eb1,0.05,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/jennifer-houde,2024-01-03 17:47:20
https://accessibility.civicactions.com/about/people/jonathan-bourland,text/html; charset=utf-8,200,OK,Indexable,,Jonathan Bourland | CivicActions Accessibility,46,409,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",160,953,,0,Jonathan Bourland,17,,0,About,5,Connect,7,,,,,,,,,,15074,3170,24,10,2.4,28.149,Very Hard,3.375,1,2,,4,3,0,2.21,25,19,0,8,8,0,,,,,37925c1d8f0e3bd96ac2020d7fb37829,0.073,"Thu, 28 Dec 2023 17:47:08 GMT",,,,1.1,https://accessibility.civicactions.com/about/people/jonathan-bourland,2024-01-03 17:40:55
