▶️ Source URL,📝 Audit notes,🗂️ Category,🎬 Action,🚩 Content status,🔢 HTTP status,📍 Destination URL,🏷️ Destination Title,✅ Approved,💬 Comments
https://accessibility.civicactions.com/,Homepage,Uncategorized,Update later,Migrate,200,/,CivicActions Accessibility,Yes,
https://accessibility.civicactions.com/agile,Could this be combined with another page?,About,Combine with existing,Migrate,301,/about/agile-product-development,Agile product development,Yes,
https://accessibility.civicactions.com/about/contact,,About,Update in place,Migrate,200,/about/contact,Contact us,Yes,
https://accessibility.civicactions.com/help,Low number of views. Links to internal page.,About,Combine with existing,Migrate,301,/about/get-accessibility-help,Get accessibility help,Yes,
https://accessibility.civicactions.com/about/join,Low number of views. Links to internal page.,About,Combine with existing,Migrate,301,/about/join-us,Join us,Yes,
https://accessibility.civicactions.com/join,Low number of views. Links to external article,About,Combine with existing,Migrate,301,/about/join-us,Join us,Yes,
https://accessibility.civicactions.com/posts/,Long list.,About,Delete and abandon,Delete,301,/about/news,News,Yes,
https://accessibility.civicactions.com/news/,Long list.,About,Update later,Migrate,301,/about/news,News,Yes,
https://accessibility.civicactions.com/posts/at-banter-podcast,,About,No changes its perfect,Migrate,301,/about/news/at-banter-podcast,Mike Gifford interviewed on the AT Banter Podcast,Yes,
https://accessibility.civicactions.com/posts/automated-accessibility-testing-leveraging-github-actions-and-pa11y-ci-with-axe,Consider emphasizing,Accessibility Guides,Update later,Migrate,301,/about/news/automated-accessibility-testing-github-actions-pa11y-ci-axe,Automated accessibility testing: Leveraging GitHub Actions and pa11y-ci with axe,Yes,
https://accessibility.civicactions.com/posts/CivicActions-Accessibility-Pledge,,About,No changes its perfect,Migrate,301,/about/news/civicactions-creates-open-product-accessibility-template,CivicActions creates Open Product Accessibility Template (OPAT) with the GSA,Yes,
https://accessibility.civicactions.com/posts/CivicActions-Creates-Open-Product-Accessibility-Template,,About,No changes its perfect,Migrate,301,/about/news/civicactions-creates-open-product-accessibility-template,CivicActions creates Open Product Accessibility Template (OPAT) with the GSA,Yes,
